bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
160,72,78,68,28,0,11,12,0
114,59,60,94,24,0,10,4,0
113,73,72,32,77,0,15,5,0
147,67,69,72,17,0,19,3,0
100,70,92,59,3,0,10,3,1
155,49,42,77,3,0,12,9,0
107,54,41,39,51,0,11,16,1
112,80,15,54,9,0,38,5,0
166,70,57,57,9,20,11,7,0
107,69,96,36,81,0,8,4,1
81,47,33,68,24,0,22,38,0
150,79,77,46,5,0,11,7,0
110,66,19,32,69,0,12,4,0
108,64,4,40,6,0,10,6,0
130,89,48,74,30,0,7,36,1
164,70,39,56,6,0,9,7,0
114,80,42,68,2,0,66,4,1
93,63,93,88,1,0,12,4,0
90,87,51,69,36,0,9,8,1
128,45,35,68,78,0,39,8,0
97,83,47,80,2,0,24,9,0
152,69,94,71,79,0,7,8,1
175,51,94,34,73,0,10,5,0
116,61,48,55,67,0,16,8,0
80,33,51,59,76,0,44,6,1
93,63,34,86,26,0,21,39,1
122,70,42,54,30,0,37,5,0
122,70,91,79,3,0,7,10,0
135,70,60,58,4,0,16,3,1
109,60,45,47,62,0,31,5,0
93,65,82,74,27,0,32,5,1
125,85,64,81,2,5,7,9,1
206,58,83,45,36,0,11,8,1
130,76,44,77,1,0,13,3,0
121,80,62,51,2,0,9,8,1
123,74,35,73,0,0,21,5,1
122,67,50,67,15,0,30,4,1
143,53,50,79,0,0,8,3,0
121,70,35,77,1,0,26,4,1
166,56,68,66,28,0,11,18,1
135,41,27,64,36,0,60,3,0
87,49,49,59,44,0,35,21,1
111,77,74,66,30,0,13,3,0
110,75,85,84,10,0,31,19,0
130,66,19,61,30,0,9,7,0
179,61,76,51,30,0,38,15,1
93,74,53,73,61,0,13,4,1
78,27,10,49,62,0,49,5,1
180,65,37,58,2,0,4,31,0
86,28,13,41,50,0,19,3,1
88,74,55,85,1,0,5,22,1
97,68,72,78,4,0,7,5,0
134,71,59,80,13,0,36,5,1
116,75,36,76,12,0,10,10,0
170,64,14,70,9,0,9,8,1
140,83,40,55,16,0,14,23,1
118,75,46,76,3,0,9,4,1
65,31,31,24,76,0,14,4,0
120,56,16,67,0,0,11,4,1
176,29,12,33,68,0,12,5,0
180,59,69,61,84,0,46,36,1
144,59,21,43,76,0,10,7,0
133,82,52,61,38,0,14,27,1
93,63,21,52,28,0,9,3,0
122,77,25,62,34,0,23,3,0
88,53,55,73,9,0,3,5,0
170,70,61,44,40,0,37,4,1
94,46,55,50,71,0,10,11,1
170,65,46,47,12,0,13,16,0
90,79,79,70,57,0,66,8,1
78,40,7,29,62,0,9,3,0
94,57,36,58,5,0,15,3,0
73,83,11,41,0,0,36,14,0
176,73,79,86,42,0,7,18,0
128,81,57,63,40,1,10,4,1
120,58,44,60,44,9,5,6,0
82,63,85,62,6,0,35,4,0
